condicao_metereologica,total_acidentes,acidentes_com_vitimas,taxa_de_gravidade
Garoa/Chuvisco,144,133,0.9236111111111112
Sol,799,736,0.9211514392991239
Nevoeiro/Neblina,60,54,0.9
Nublado,1435,1289,0.8982578397212544
Chuva,1075,964,0.8967441860465116
Céu Claro,5147,4520,0.8781814649310278
Vento,27,21,0.7777777777777778
